file,method,direct_guard_candidates
"app/api/checkin/route.ts","GET","getAuthenticatedBusiness"
"app/api/checkin/route.ts","POST","getAuthenticatedBusiness"
"app/api/checklists/templates/route.ts","GET","getAuthenticatedBusiness"
"app/api/checklists/templates/route.ts","POST","getAuthenticatedBusiness"
"app/api/communication/evaluate/route.ts","POST","getAuthenticatedBusiness"
"app/api/communication/log/route.ts","GET","getAuthenticatedBusiness"
"app/api/communication/rules/[id]/route.ts","DELETE","getAuthenticatedBusiness"
"app/api/communication/rules/[id]/route.ts","PATCH","getAuthenticatedBusiness"
"app/api/communication/rules/route.ts","GET","getAuthenticatedBusiness"
"app/api/communication/rules/route.ts","POST","getAuthenticatedBusiness"
"app/api/communication/send-manual/route.ts","POST","getAuthenticatedBusiness"
"app/api/communication/settings/route.ts","GET","getAuthenticatedBusiness"
"app/api/communication/settings/route.ts","PUT","getAuthenticatedBusiness"
"app/api/communication/stats/route.ts","GET","getAuthenticatedBusiness"
"app/api/communication/trigger/route.ts","POST","getAuthenticatedBusiness"
"app/api/cron/agent-context/route.ts","GET",""
"app/api/cron/agent-context/route.ts","POST",""
"app/api/cron/agent-observations/[agent]/route.ts","GET",""
"app/api/cron/agent-observations/test/route.ts","GET","getAuthenticatedBusiness"
"app/api/cron/avtal-forslag/route.ts","GET",""
"app/api/cron/cert-expiry-check/route.ts","GET",""
"app/api/cron/cert-expiry-check/route.ts","POST",""
"app/api/cron/check-overdue/route.ts","GET",""
"app/api/cron/check-overdue/route.ts","POST",""
"app/api/cron/communication-check/route.ts","GET",""
"app/api/cron/credit-watch/route.ts","GET",""
"app/api/cron/credit-watch/route.ts","POST",""
"app/api/cron/driftlarm/route.ts","GET",""
"app/api/cron/driftlarm/route.ts","POST",""
"app/api/cron/evaluate-thresholds/route.ts","GET",""
"app/api/cron/expectation-drift/route.ts","GET",""
"app/api/cron/expectation-drift/route.ts","POST",""
"app/api/cron/fortnox-sync/route.ts","GET",""
"app/api/cron/generate-insights/route.ts","GET",""
"app/api/cron/gmail-lead-import/route.ts","GET",""
"app/api/cron/gmail-poll/route.ts","GET",""
"app/api/cron/hanna-outbound/route.ts","GET",""
"app/api/cron/hemsida-forslag/route.ts","GET",""
